#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
 19:53:50       0    106     66      -     57     49      0      0      0      0  13801   1065 
 19:53:51       0    496     70      -     91     79      0      0      0      0  13801   2872 
 19:53:52       0    514     70      -     91     78      0      0      0      0  13801   2872 
 19:53:53       0    515     70      -     93     81      0      0      0      0  13801   2872 
 19:53:54       0    517     70      -     91     79      0      0      0      0  13801   2872 
 19:53:55       0    516     71      -     91     79      0      0      0      0  13801   2872 
 19:53:56       0    516     71      -     92     80      0      0      0      0  13801   2872 
 19:53:57       0    515     70      -     92     80      0      0      0      0  13801   2872 
 19:53:58       0    519     71      -     91     79      0      0      0      0  13801   2872 
 19:53:59       0    520     71      -     92     80      0      0      0      0  13801   2872 
 19:54:00       0    520     71      -     91     80      0      0      0      0  13801   2872 
 19:54:01       0    519     71      -     92     81      0      0      0      0  13801   2872 
